;;;;;;;;;;;;;;;;;;;Nests Laid on Cousin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;30;53;0;136;114;131;182;209;112;102;594;590;543;376;781;349;439;541;571;583;568;495;492;551;386;266;85;360;246;;;;
X 3724;SEY 8668;X 3724;X 3732;Cousin;;1992;;;SEY 8668;06/12/2006;;;;;;;;;;;;;1;;;;;;3;;;;;;;;;;3;;;;;;;;;3;3;1;HB
E 0401;X 3446;;X 3446;Cousin;;1992;E 0401;;;;;;;;;;;;;;;;;2;;;;1;;;4;;;;;;;;;;;;;;;;;3;4;1;HB
SCA 1247;X 3593;;X 3593;Cousin;;1992;SCA 1247;14/01/2008;;;;;;;;;;;;;;;;;;;1;;;3;;;;2;;;;;;;;;;;;;;3;3;1;HB
SCA 3780;X 3569;;X 3569;Cousin;;1992;SCA 3780;15/12/2010;;;;;;;;;;;;;;;;;;;;;;1;;;3;;;;;;;1;;;;;;;;3;3;1;HB
SEY 0353;X 3745;;X 3745;Cousin;;1992;SEY 0353;;;;;;;;;;;;;;;3;;;3;;;1;;;;;;;;;;;;;;;;;;;;3;3;1;HB
X 3407;X 3406;X 3407;X 3406;Cousin;;1992;;;;;;;;;;;;;;;;;;;1;;;;5;;;;2;;;;;;;;;;;;;;;3;5;1;HB
X 3443;X 3444;X 3443;X 3444;Cousin;;1992;;;;;;;;;;;;;;;;;;;;2;;;3;;;3;;;;;;;;;;;;;;;;3;3;2;HB
X 3503;X 3502;X 3503;X 3502;Cousin;;1992;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2;;;;;;;2;;;;;;3;2;2;HB
X 3528;SCA 2689;X 3528;SEY 2634;Cousin;;1992;;;SCA 2689;05/11/2010;;;;;;;;;;;;;;1;;;;1;;;;;5;;;;;;;;;;;;;;;3;5;1;HB
SXX 3195;SCA 2761;X 3564;X 3565;Cousin;;1992;SCA 2760;06/11/2009;SCA 2761;06/11/2009;SXX 3195;25/12/2021;;;;;;;2;;;2;;;;;1;;;;;2;;;;;;;;4;;4;;3;;4;1;8;4;1;HB
X 3610;X 3625;X 3610;X 3625;Cousin;;1992;;;;;;;;;;;;;1;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;2;2;1;HB
X 3676;SCA 2672;X 3676;X 3690;Cousin;;1992;;;SCA 2672;01/11/2010;;;;;;;;;;2;;;;1;;;;;;;;;3;;;;;;;;;;;;;;;2;3;1;HB
X 3692;X 3691;X 3692;X 3691;Cousin;;1992;;;;;;;;;;;;;;;;1;;;;;;;5;;;;;2;;;;;;;;;;;;;;3;5;1;HB
X 3771;X 3772;X 3771;X 3772;Cousin;;1992;;;;;;;;;;;;;;;;;;1;;;1;;;2;;;;;;;;;;;;;;;;;;3;2;1;HB
X 3782;X 3786;X 3782;X 3786;Cousin;;1992;;;;;;;;;;;;;;;;2;;;;2;;;;;4;;;;;;;;;;;;;;;;;3;4;2;HB
